"Hot Spots - Method","Self time [%]","Self time","Invocations"
"edu.fiu.strg.ACSTF.manager.mape.Analyzer.doFunction()","25.80612","20154.526 ms","18778"
"edu.fiu.strg.ACSTF.manager.mape.Monitor.init()","14.874041","11616.595 ms","5460105"
"cvm.ncb.csm.ThreadedQueue.doWait()","9.983145","7796.815 ms","7"
"cvm.ncb.csm.ThreadedQueue.run()","6.709301","5239.95 ms","3"
"cvm.ncb.csm.BridgeExecutor.getMethod(String, java.util.Map)","6.490431","5069.013 ms","14330"
"edu.fiu.strg.ACSTF.manager.knowledge.Knowledge.dequeueChangeRequest()","6.4874425","5066.679 ms","2"
"edu.fiu.strg.ACSTF.manager.knowledge.Knowledge.dequeueChangePlan()","6.339656","4951.258 ms","2"
"cvm.ncb.csm.BridgeExecutor$_getMethod_closure1.doCall(java.lang.reflect.Method)","6.0454397","4721.476 ms","77378"
"edu.fiu.strg.ACSTF.manager.knowledge.Mapping.booleanEqualsMapping(Object)","5.4959598","4292.333 ms","14842"
"edu.fiu.strg.ACSTF.manager.mape.Monitor.doFunction()","3.3422868","2610.319 ms","5460105"
"cvm.ncb.csm.BridgeExecutor.areParamsEquiv(java.lang.reflect.Method, cvm.ncb.adapters.Method, java.util.Map)","1.5129452","1181.607 ms","14330"
"cvm.ncb.csm.BridgeExecutor.execute(String, java.util.Map)","1.4707376","1148.643 ms","14331"
"edu.fiu.strg.ACSTF.manager.mape.AbstractFunction.run()","1.0276455","802.589 ms","4"
"edu.fiu.strg.ACSTF.manager.knowledge.Knowledge.lockData()","1.0143535","792.208 ms","5478883"
"edu.fiu.strg.ACSTF.touchpoint.AbstractTouchPoint.getState()","0.7934131","619.654 ms","5460105"
"edu.fiu.strg.ACSTF.manager.knowledge.Knowledge.unlockData()","0.79251426","618.952 ms","5478883"
"cvm.ncb.csm.BridgeExecutor.orderParameters(java.lang.reflect.Method, java.util.Map)","0.2676358","209.023 ms","14329"
"cvm.ncb.tpm.Touchpoint.checkFrameworkForFailure()","0.23252943","181.605 ms","14842"
"cvm.ncb.adapters.Method$parameters.call(Object)","0.17112337","133.647 ms","128944"
"cvm.ncb.csm.BridgeExecutor$_getMethod_closure1.<init>(Object, Object, groovy.lang.Reference, groovy.lang.Reference)","0.12610021","98.484 ms","14330"
"cvm.ncb.repository.loader.FilePolicyLoader.getPolicyDocument(java.io.File)","0.08619357","67.317 ms","20"
"cvm.ncb.oem.pe.actions.SendSchemaAction.sendSchemaToCommObj(String, Object, Object, cvm.ncb.csm.ManagedObject)","0.066057794","51.591 ms","2"
"cvm.ncb.csm.BridgeExecutor.executeBoolean(String, java.util.Map)","0.064657025","50.497 ms","14320"
"edu.fiu.strg.ACSTF.manager.knowledge.Mapping.isSatisfied(Object)","0.063398376","49.514 ms","14842"
"cvm.ncb.csm.BridgeExecutor$getMethod.callCurrent(groovy.lang.GroovyObject, Object, Object)","0.057938695","45.25 ms","14330"
"com.intellij.rt.execution.junit.segments.SegmentedOutputStream.flush()","0.05764804","45.023 ms","7107"
"cvm.ncb.csm.BridgeExecutor$execute.callCurrent(groovy.lang.GroovyObject, Object, Object)","0.047126886","36.806 ms","14319"
"edu.fiu.strg.ACSTF.manager.knowledge.Symptom.isSatisfied(Object)","0.045795258","35.766 ms","18778"
"cvm.ncb.csm.ThreadedQueue.wake()","0.040263873","31.446 ms","9"
"cvm.ncb.csm.BridgeExecutor$orderParameters.callCurrent(groovy.lang.GroovyObject, Object, Object)","0.04022674","31.417 ms","14329"
"cvm.ncb.repository.loader.FilePolicyLoader.load(java.io.File)","0.03824082","29.866 ms","18"
"cvm.ncb.tpm.Touchpoint.hasFailed()","0.037980895","29.663 ms","14842"
"cvm.ncb.csm.BridgeExecutor.<init>(Object)","0.03396936","26.53 ms","14331"
"com.intellij.rt.execution.junit.segments.SegmentedOutputStream.writeNext(int)","0.031225435","24.387 ms","7073"
"cvm.ncb.csm.BridgeExecutor$_getMethod_closure1.$get$$class$cvm$ncb$adapters$Method()","0.029978313","23.413 ms","154756"
"cvm.ncb.csm.BridgeExecutor.$getStaticMetaClass()","0.02882082","22.509 ms","14331"
"cvm.ncb.csm.BridgeExecutor.$getCallSiteArray()","0.024015428","18.756 ms","85975"
"cvm.ncb.csm.BridgeExecutor$_getMethod_closure1.$getCallSiteArray()","0.020998776","16.4 ms","91710"
"com.intellij.rt.execution.junit.segments.SegmentedOutputStream.write(int)","0.016262528","12.701 ms","7071"
"cvm.ncb.oem.pe.PolicyEvalManager$ManagerContext.getStateManager()","0.016225396","12.672 ms","14847"
"cvm.ncb.csm.ManagedObject.getName()","0.015459708","12.074 ms","14326"
"edu.fiu.strg.ACSTF.manager.knowledge.Mapping.isTypeBoolean()","0.0150525365","11.756 ms","14842"
"cvm.ncb.csm.ManagedObject.execute(String, java.util.Map)","0.014993638","11.71 ms","11"
"cvm.ncb.csm.ManagedObject.executeBoolean(String, java.util.Map)","0.011113986","8.68 ms","14320"
"cvm.ncb.csm.BridgeExecutor.<clinit>","0.010822052","8.452 ms","1"
"cvm.ncb.adapters.MockAdapter.login()","0.010519874","8.216 ms","2"
"cvm.ncb.csm.BridgeExecutor.$get$$class$java$lang$Thread()","0.009393111","7.336 ms","14331"
"cvm.ncb.tpm.Touchpoint.updateFailedTable(String, Boolean)","0.008786195","6.862 ms","14319"
"cvm.ncb.ks.Connection.<init>(String)","0.0072765877","5.683 ms","1"
"com.intellij.rt.execution.junit.segments.SegmentedOutputStream.write(byte[], int, int)","0.0062650614","4.893 ms","146"
"cvm.ncb.adapters.Mock2Adapter.$getCallSiteArray()","0.006017942","4.7 ms","14131"
"cvm.ncb.csm.BridgeExecutor.$get$$class$cvm$ncb$csm$BridgeExecutor()","0.0053508463","4.179 ms","14334"
"cvm.ncb.csm.BridgeExecutor.$get$$class$cvm$ncb$adapters$Method()","0.0051062875","3.988 ms","28658"
"cvm.ncb.adapters.Mock2Adapter.hasMediumFailed(String, String)","0.0041920724","3.274 ms","14130"
"cvm.ncb.csm.AbstractTouchpoint.enqueue(cvm.ncb.oem.pe.Call)","0.0032816988","2.563 ms","9"
"cvm.ncb.csm.BridgeExecutor.$get$$class$java$lang$reflect$Method()","0.003133171","2.447 ms","28660"
"cvm.ncb.csm.BridgeExecutor.$get$$class$java$lang$String()","0.0030691503","2.397 ms","57306"
"cvm.ncb.repository.loader.FilePolicyLoader.loadFeatures(org.w3c.dom.Element, cvm.ncb.oem.policy.Feature)","0.00300641","2.348 ms","18"
"cvm.ncb.oem.policy.PolicyManager.buildDesiredFeatureList(String, String, java.util.Map)","0.0024878427","1.943 ms","2"
"cvm.ncb.oem.pe.PolicyEvalManager.execute(cvm.ncb.oem.pe.Call)","0.0020755497","1.621 ms","7"
"cvm.model.CVM_Debug.printDebugMessage(String)","0.0019385455","1.514 ms","34"
"cvm.ncb.csm.BridgeExecutor.$get$$class$java$lang$Class()","0.0018911702","1.477 ms","28653"
"cvm.ncb.ks.StateManager.createConnection(String)","0.0016991083","1.327 ms","1"
"cvm.ncb.oem.pe.actions.MediumAction.enableNextFw(cvm.ncb.ks.Connection, String, cvm.ncb.csm.ManagedObject)","0.0015787494","1.233 ms","2"
"cvm.ncb.repository.loader.FilePolicyLoader.isPolicyFile(String)","0.0014916813","1.165 ms","20"
"cvm.ncb.csm.BridgeExecutor$_getMethod_closure1.class$(String)","0.001422539","1.111 ms","2"
"cvm.ncb.repository.loader.FilePolicyLoader.getAllPolicies()","6.722169E-4","0.525 ms","2"
"cvm.ncb.oem.pe.actions.MediumAction.execute(cvm.ncb.oem.pe.actions.ActionContext, cvm.ncb.oem.pe.Call)","6.2612206E-4","0.489 ms","2"
"cvm.ncb.oem.policy.PolicyManager.reduceSet(java.util.TreeSet, java.util.Iterator)","6.184396E-4","0.483 ms","6"
"cvm.ncb.repository.loader.FilePolicyLoader.loadFeatureTree()","4.673508E-4","0.365 ms","2"
"cvm.ncb.oem.policy.PolicyManager$DesiredFeaturesList.<init>(cvm.ncb.oem.policy.PolicyManager)","4.583879E-4","0.358 ms","2"
"cvm.ncb.oem.pe.PolicyEvalManager.findConformingObject(String, String, java.util.Map)","4.1357343E-4","0.323 ms","2"
"edu.fiu.strg.ACSTF.manager.knowledge.Knowledge.enqueueChangeRequest(edu.fiu.strg.ACSTF.manager.knowledge.ChangeRequest)","3.5339402E-4","0.276 ms","1"
"cvm.ncb.csm.BridgeExecutor$_getMethod_closure1.<clinit>","3.4827238E-4","0.272 ms","1"
"cvm.ncb.adapters.MockAdapter.$getCallSiteArray()","3.4443114E-4","0.269 ms","201"
"cvm.ncb.oem.pe.Call.toString()","2.9577545E-4","0.231 ms","11"
"cvm.ncb.oem.policy.PolicyManager.getSupperFeatures(String)","2.9449502E-4","0.23 ms","6"
"edu.fiu.strg.ACSTF.manager.mape.Executer.execute(edu.fiu.strg.ACSTF.manager.knowledge.ChangePlan)","2.740084E-4","0.214 ms","1"
"cvm.ncb.repository.FilePolicyRepository.load(String, String)","2.7016716E-4","0.211 ms","2"
"cvm.ncb.tpm.Touchpoint.notifyFailedFramework()","2.3431561E-4","0.183 ms","1"
"cvm.ncb.repository.loader.FilePolicyLoader.lookup(String, String)","2.2151148E-4","0.173 ms","2"
"cvm.ncb.oem.policy.PolicyManager.hasFeature(java.util.Collection, String, String, Object, int)","2.1638982E-4","0.169 ms","6"
"cvm.ncb.ks.ObjectManager.getAvailableObjects()","2.0358569E-4","0.159 ms","2"
"edu.fiu.strg.ACSTF.manager.mape.Executer.doFunction()","2.0230528E-4","0.158 ms","2"
"cvm.ncb.oem.policy.PolicyManager.depthFirstSearchWithoutReturn(cvm.ncb.oem.policy.Feature, String)","1.9590321E-4","0.153 ms","54"
"cvm.ncb.oem.pe.PolicyEvalManager$ManagerContext.<init>(cvm.ncb.oem.pe.PolicyEvalManager, cvm.ncb.oem.pe.PolicyEvalManager.1)","1.8181867E-4","0.142 ms","7"
"com.intellij.rt.execution.junit.segments.SegmentedOutputStream.writeNext(String)","1.7157536E-4","0.134 ms","4"
"cvm.ncb.adapters.MockAdapter.sendSchema(String, String)","1.6773412E-4","0.131 ms","2"
"cvm.ncb.ks.UserIDMappingTable.lookupContact(String, String)","1.6773412E-4","0.131 ms","4"
"cvm.ncb.oem.pe.actions.ReenableMediumAction.execute(cvm.ncb.oem.pe.actions.ActionContext, cvm.ncb.oem.pe.Call)","1.5236916E-4","0.119 ms","1"
"cvm.ncb.csm.BridgeExecutor.class$(String)","1.4980834E-4","0.117 ms","8"
"cvm.ncb.adapters.MockAdapter.addParticipant(String, String)","1.4980834E-4","0.117 ms","2"
"cvm.ncb.oem.policy.Feature.hasAttributeValue(String, Boolean, int)","1.4468668E-4","0.113 ms","3"
"cvm.ncb.oem.pe.actions.MediumAction.findConformingFramework(cvm.ncb.ks.Connection, String, cvm.ncb.oem.pe.PolicyEvalManager)","1.370042E-4","0.107 ms","2"
"cvm.ncb.adapters.MockAdapter.enableMedium(String, String)","1.3444338E-4","0.105 ms","2"
"cvm.ncb.csm.ThreadedQueue.enqueue(cvm.ncb.oem.pe.Call)","1.3316296E-4","0.104 ms","9"
"cvm.ncb.adapters.MockAdapter.createSession(String)","1.267609E-4","0.099 ms","2"
"cvm.ncb.oem.pe.ActionSignalHandler.handle(cvm.ncb.oem.pe.Call, cvm.ncb.oem.pe.actions.ActionContext)","1.2035883E-4","0.094 ms","7"
"java.util.logging.LogManager$Cleaner.run()","1.2035883E-4","0.094 ms","1"
"cvm.ncb.oem.policy.Feature.hasAttributeValue(String, Integer, int)","1.1267636E-4","0.088 ms","3"
"cvm.ncb.oem.pe.actions.SendSchemaAction.execute(cvm.ncb.oem.pe.actions.ActionContext, cvm.ncb.oem.pe.Call)","1.1267636E-4","0.088 ms","1"
"cvm.ncb.adapters.NCBBridgeBase.addAParticipant(String, String)","1.11395944E-4","0.087 ms","2"
"edu.fiu.strg.ACSTF.manager.mape.Planner.doFunction()","1.0883512E-4","0.085 ms","2"
"cvm.ncb.adapters.MockAdapter.destroySession(String)","1.0627429E-4","0.083 ms","1"
"cvm.ncb.csm.BridgeExecutor.$createCallSiteArray()","9.9872224E-5","0.078 ms","2"
"edu.fiu.strg.ACSTF.manager.knowledge.Knowledge.enqueueChangePlan(edu.fiu.strg.ACSTF.manager.knowledge.ChangePlan)","9.859181E-5","0.077 ms","1"
"cvm.ncb.oem.policy.PolicyManager$DesiredFeaturesList.addDesiredFeature(String, String, Object, int)","9.73114E-5","0.076 ms","4"
"cvm.ncb.csm.BridgeExecutor.__$swapInit()","9.6030984E-5","0.075 ms","1"
"cvm.ncb.oem.policy.Feature.addAttribute(cvm.ncb.oem.policy.Attribute)","9.6030984E-5","0.075 ms","34"
"cvm.ncb.oem.policy.Feature.getAttribute(String)","9.347016E-5","0.073 ms","6"
"cvm.ncb.oem.pe.actions.LoginAction.execute(cvm.ncb.oem.pe.actions.ActionContext, cvm.ncb.oem.pe.Call)","9.2189744E-5","0.072 ms","1"
"cvm.ncb.oem.policy.Feature.<init>(String)","8.4507265E-5","0.066 ms","18"
"cvm.ncb.adapters.MockAdapter.hasMediumFailed(String, String)","8.3226856E-5","0.065 ms","189"
"cvm.ncb.csm.BridgeExecutor$_getMethod_closure1.$createCallSiteArray()","7.5544376E-5","0.059 ms","2"
"cvm.ncb.csm.BridgeExecutor.$createCallSiteArray_1(String[])","7.1703136E-5","0.056 ms","2"
"cvm.ncb.oem.policy.PolicyManager.reduceSet(java.util.TreeSet, cvm.ncb.oem.policy.PolicyManager.DesiredFeaturesList)","7.1703136E-5","0.056 ms","2"
"cvm.ncb.ks.StateManager.getObjectInternal(String)","7.042272E-5","0.055 ms","4"
"cvm.ncb.oem.pe.actions.CreateSessionAction.execute(cvm.ncb.oem.pe.actions.ActionContext, cvm.ncb.oem.pe.Call)","6.914231E-5","0.054 ms","1"
"cvm.ncb.oem.policy.Feature.hasAttributeValue(String, Object, int)","6.658148E-5","0.052 ms","6"
"cvm.ncb.oem.policy.PolicyManager.getConformingObjects(java.util.TreeSet, String, String, java.util.Map)","6.4020656E-5","0.05 ms","2"
"cvm.ncb.oem.pe.actions.AddParticipantAction.execute(cvm.ncb.oem.pe.actions.ActionContext, cvm.ncb.oem.pe.Call)","6.274024E-5","0.049 ms","1"
"cvm.ncb.csm.ManagedObject.execute(String)","6.145983E-5","0.048 ms","2"
"com.intellij.rt.execution.junit.segments.SegmentedOutputStream.processPacket(String)","5.8899004E-5","0.046 ms","2"
"cvm.ncb.oem.policy.PolicyManager.convertStringToInt(String)","5.249694E-5","0.041 ms","4"
"cvm.ncb.oem.policy.Feature.<init>(String, cvm.ncb.oem.policy.Feature)","5.1216524E-5","0.04 ms","18"
"cvm.ncb.csm.ThreadedQueue.process(cvm.ncb.oem.pe.Call)","4.9936112E-5","0.039 ms","14"
"cvm.ncb.oem.pe.PolicyEvalManager$ManagerContext.<init>(cvm.ncb.oem.pe.PolicyEvalManager)","4.6094872E-5","0.036 ms","7"
"cvm.ncb.oem.pe.Call.getParam(String)","4.481446E-5","0.035 ms","1"
"cvm.ncb.repository.policy.Scope.<init>(String, String, String)","4.3534048E-5","0.034 ms","18"
"cvm.ncb.csm.BridgeExecutor$_getMethod_closure1.__$swapInit()","4.2253632E-5","0.033 ms","1"
"cvm.ncb.ks.Connection.setFramework(cvm.ncb.csm.ManagedObject)","4.2253632E-5","0.033 ms","2"
"com.intellij.rt.execution.junit.segments.PacketWriter.appendLong(long)","4.2253632E-5","0.033 ms","5"
"cvm.model.CVM_Debug.getInstance()","4.097322E-5","0.032 ms","34"
"cvm.ncb.repository.policy.Policy.<init>(cvm.ncb.repository.policy.Scope, cvm.ncb.repository.policy.Condition, cvm.ncb.repository.policy.BusinessValue, cvm.ncb.repository.policy.Decision, String, String)","3.8412396E-5","0.03 ms","18"
"cvm.ncb.repository.FilePolicyRepository.loadFeatures()","3.8412396E-5","0.03 ms","2"
"cvm.ncb.ks.UserIDMappingTable.getInstance()","3.8412396E-5","0.03 ms","4"
"cvm.ncb.adapters.Mock2Adapter.getName()","3.8412396E-5","0.03 ms","1"
"cvm.ncb.csm.BridgeExecutor$_getMethod_closure1.$get$$class$cvm$ncb$csm$BridgeExecutor$_getMethod_closure1()","3.5851568E-5","0.028 ms","2"
"cvm.ncb.oem.pe.Call.<init>(String, java.util.Map)","3.5851568E-5","0.028 ms","7"
"cvm.ncb.ks.StateManager.getConnection(String)","3.5851568E-5","0.028 ms","4"
"com.intellij.rt.execution.junit.TestMeter.stop()","3.5851568E-5","0.028 ms","1"
"com.intellij.rt.execution.junit.segments.Packet.encode(String)","3.4571156E-5","0.027 ms","2"
"cvm.ncb.csm.BridgeExecutor.$get$$class$org$apache$commons$logging$LogFactory()","3.329074E-5","0.026 ms","1"
"cvm.ncb.oem.pe.actions.MediumAction.disableCurrentFramework(cvm.ncb.ks.Connection, cvm.ncb.csm.ManagedObject)","3.2010328E-5","0.025 ms","2"
"cvm.ncb.ks.Connection.<clinit>","3.2010328E-5","0.025 ms","1"
"cvm.ncb.oem.policy.Feature.addSubFeature(cvm.ncb.oem.policy.Feature)","3.0729916E-5","0.024 ms","16"
"cvm.ncb.ks.ObjectManager.getObject(String)","3.0729916E-5","0.024 ms","3"
"cvm.ncb.oem.pe.PolicyEvalManager$ManagerContext.getObjectManager()","2.816909E-5","0.022 ms","3"
"cvm.ncb.oem.pe.ActionSignalHandler.canHandle(cvm.ncb.oem.pe.Call)","2.816909E-5","0.022 ms","33"
"com.intellij.rt.execution.junit.TestMeter.writeTo(com.intellij.rt.execution.junit.segments.Packet)","2.5608262E-5","0.02 ms","1"
"com.intellij.rt.execution.junit.TestMeter.usedMemory()","2.5608262E-5","0.02 ms","1"
"cvm.ncb.repository.policy.Decision.<init>(String, String, String)","2.432785E-5","0.019 ms","18"
"edu.fiu.strg.ACSTF.manager.knowledge.ChangeRequest.<init>(String)","2.432785E-5","0.019 ms","1"
"com.intellij.rt.execution.junit.segments.OutputObjectRegistry.referenceTo(Object)","2.432785E-5","0.019 ms","1"
"cvm.ncb.repository.policy.BusinessValue.<init>(String, String)","2.3047436E-5","0.018 ms","18"
"edu.fiu.strg.ACSTF.resource.AbstractResource.<init>()","2.3047436E-5","0.018 ms","7"
"cvm.ncb.repository.policy.Condition.<init>(String, String, String)","2.1767024E-5","0.017 ms","18"
"cvm.ncb.csm.BridgeExecutor$_getMethod_closure1.$createCallSiteArray_1(String[])","2.1767024E-5","0.017 ms","2"
"com.intellij.rt.execution.junit.segments.Packet.addReference(String)","2.1767024E-5","0.017 ms","1"
"com.intellij.rt.execution.junit.segments.OutputObjectRegistry.createPacket()","1.9206198E-5","0.015 ms","2"
"com.intellij.rt.execution.junit.segments.OutputObjectRegistry.forget(Object)","1.7925784E-5","0.014 ms","1"
"com.intellij.rt.execution.junit.segments.PacketWriter.getString()","1.7925784E-5","0.014 ms","2"
"com.intellij.rt.execution.junit.segments.PacketWriter.sendThrough(com.intellij.rt.execution.junit.segments.PacketProcessor)","1.7925784E-5","0.014 ms","2"
"cvm.ncb.csm.ManagedObject.execute(cvm.ncb.oem.pe.Call)","1.7925784E-5","0.014 ms","7"
"cvm.ncb.ks.UserIDMappingTable.<init>()","1.7925784E-5","0.014 ms","1"
"com.intellij.rt.execution.junit.segments.Packet.<init>(com.intellij.rt.execution.junit.segments.PacketProcessor, com.intellij.rt.execution.junit.segments.OutputObjectRegistry)","1.664537E-5","0.013 ms","2"
"com.intellij.rt.execution.junit.segments.PacketWriter.<init>()","1.664537E-5","0.013 ms","2"
"cvm.ncb.csm.BridgeExecutor.$get$$class$org$apache$commons$logging$Log()","1.2804131E-5","0.01 ms","1"
"com.intellij.rt.execution.junit.segments.Packet.setTestState(Object, int)","1.2804131E-5","0.01 ms","1"
"cvm.ncb.ks.UserIDMappingTable.<clinit>","1.2804131E-5","0.01 ms","1"
"cvm.ncb.adapters.MockAdapter.getName()","1.1523718E-5","0.0090 ms","1"
"cvm.ncb.oem.policy.Attribute.<init>(String, String)","1.1523718E-5","0.0090 ms","34"
"com.intellij.rt.execution.junit.segments.PacketWriter.appendString(String)","1.1523718E-5","0.0090 ms","3"
"cvm.ncb.adapters.NCBBridgeBase.getUserMapper()","1.0243305E-5","0.0080 ms","2"
"com.intellij.rt.execution.junit.segments.Packet.addObject(Object)","1.0243305E-5","0.0080 ms","1"
"com.intellij.rt.execution.junit.segments.Packet.send()","1.0243305E-5","0.0080 ms","2"
"cvm.ncb.oem.policy.Metadata.fail()","7.682479E-6","0.0060 ms","1"
"com.intellij.rt.execution.junit.segments.Packet.addLong(long)","6.4020655E-6","0.0050 ms","5"
"com.intellij.rt.execution.junit.segments.Packet.addString(String)","3.8412395E-6","0.0030 ms","2"
"edu.fiu.strg.ACSTF.manager.knowledge.Symptom.disable()","0.0","0.0 ms","1"
"edu.fiu.strg.ACSTF.manager.knowledge.Symptom.enable()","0.0","0.0 ms","1"
"java.lang.ApplicationShutdownHooks$1.run()","0.0","0.0 ms","1"
